,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,chg,close_price,history_volatility,id,last_close_price,listing_day,month1_volatility,month3_volatility,month6_volatility,nmc,share_code,share_market,share_name,share_pinyin,share_symbol,trade_day,updated_at,week_volatility,year_volatility,res,std_result,pay_amount_rate,c_sigma,c_S,c_K,c_r,c_T
18,18,18,20.0,20.0,20.0,20.0,-0.0927,20.75,0.0,1348.0,0.0,1992-04-28 00:00:00,57.34,44.96,46.76,37.0,20.0,sz,深华发A,shfa,sz000020,2017-11-05 00:00:00,2017-11-05 15:25:38,102.8,0.0,2.5163,0.0,0.0,102.8,20.75,20.75,3.73,2.0
19,19,19,21.0,21.0,21.0,21.0,-0.0011,9.16,0.0,1349.0,0.0,1994-02-02 00:00:00,33.91,33.07,32.19,134.0,21.0,sz,深科技,skj,sz000021,2017-11-05 00:00:00,2017-11-05 15:25:38,45.45,0.0,0.5636,0.0,0.0,45.45,9.16,9.16,3.73,2.0
20,20,20,22.0,22.0,22.0,22.0,-0.0012,24.41,0.0,1350.0,0.0,1993-05-05 00:00:00,41.58,39.07,53.77,113.0,22.0,sz,深赤湾A,scwa,sz000022,2017-11-05 00:00:00,2017-11-05 15:25:38,34.11,0.0,1.7711,0.0,0.0,53.77,24.41,24.41,3.73,2.0
21,21,21,23.0,23.0,23.0,23.0,-0.0048,22.85,0.0,1351.0,0.0,1993-04-29 00:00:00,27.9,44.86,54.68,31.0,23.0,sz,深天地A,stda,sz000023,2017-11-05 00:00:00,2017-11-05 15:25:38,16.43,0.0,1.9036,0.0,0.0,54.68,22.85,22.85,3.73,2.0
22,22,22,24.0,24.0,24.0,24.0,-0.0007,43.16,0.0,1352.0,0.0,1993-06-21 00:00:00,53.82,37.22,59.88,83.0,25.0,sz,特力A,tla,sz000025,2017-11-05 00:00:00,2017-11-05 15:25:38,13.44,0.0,3.2763,0.0,0.0,59.88,43.16,43.16,3.73,2.0
23,23,23,25.0,25.0,25.0,25.0,-0.0009,11.38,0.0,1353.0,0.0,1993-06-03 00:00:00,33.69,27.13,34.17,40.0,26.0,sz,飞亚达A,fyda,sz000026,2017-11-05 00:00:00,2017-11-05 15:25:38,37.62,0.0,0.7087,0.0,0.0,37.62,11.38,11.38,3.73,2.0
24,24,24,26.0,26.0,26.0,26.0,-0.0032,6.33,0.0,1354.0,0.0,1993-09-03 00:00:00,12.76,11.94,25.28,250.0,27.0,sz,深圳能源,szny,sz000027,2017-11-05 00:00:00,2017-11-05 15:25:38,11.41,0.0,0.2461,0.0,0.0,25.28,6.33,6.33,3.73,2.0
25,25,25,27.0,27.0,27.0,27.0,-0.0346,62.85,0.0,1355.0,0.0,1993-08-09 00:00:00,28.43,28.25,27.65,193.0,28.0,sz,国药一致,gyyz,sz000028,2017-11-05 00:00:00,2017-11-05 15:25:38,24.2,0.0,2.7365,0.0,0.0,28.43,62.85,62.85,3.73,2.0
26,26,26,28.0,28.0,28.0,28.0,0.0,11.17,0.0,1356.0,0.0,1993-09-15 00:00:00,0.0,0.0,0.0,0.0,29.0,sz,深深房A,ssfa,sz000029,2017-09-05 00:00:00,2017-11-05 15:25:38,0.0,0.0,,0.0,0.0,0.0,11.17,11.17,3.73,2.0
27,27,27,29.0,29.0,29.0,29.0,0.0,8.4,0.0,1357.0,0.0,1993-09-29 00:00:00,22.52,26.72,27.34,105.0,30.0,sz,富奥股份,fagf,sz000030,2017-11-05 00:00:00,2017-11-05 15:25:38,15.59,0.0,0.3522,0.0,0.0,27.34,8.4,8.4,3.73,2.0
28,28,28,30.0,30.0,30.0,30.0,0.0,8.0,0.0,1358.0,0.0,1993-10-08 00:00:00,46.14,39.72,34.3,0.0,31.0,sz,中粮地产,zldc,sz000031,2017-09-05 00:00:00,2017-11-05 15:25:38,92.28,0.0,1.1336,0.0,0.0,92.28,8.0,8.0,3.73,2.0
29,29,29,31.0,31.0,31.0,31.0,-0.0302,11.54,0.0,1359.0,0.0,1993-10-28 00:00:00,32.79,40.32,41.17,32.0,32.0,sz,深桑达A,ssda,sz000032,2017-11-05 00:00:00,2017-11-05 15:25:38,39.95,0.0,0.7735,0.0,0.0,41.17,11.54,11.54,3.73,2.0
